time,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2025-01-02,243.26319885253906,248.5005651105234,241.23808511721737,248.3309608077005,55740700.0
2025-01-03,242.7743682861328,243.5923870862029,241.3079045417172,242.7743682861328,40244100.0
2025-01-04,242.7743682861328,243.5923870862029,241.3079045417172,242.7743682861328,40244100.0
2025-01-05,242.7743682861328,243.5923870862029,241.3079045417172,242.7743682861328,40244100.0
2025-01-06,244.41041564941406,246.73481040856498,242.61474424512696,243.72207367593157,45045600.0
2025-01-07,241.62713623046875,244.9590949760797,240.76920518354387,242.3952722906863,40856000.0
2025-01-08,242.11593627929688,243.12351544341067,239.47231962725974,241.33781457710975,37628900.0
2025-01-09,242.11593627929688,243.12351544341067,239.47231962725974,241.33781457710975,37628900.0
2025-01-10,236.280029296875,239.58206138453855,232.4392881886217,239.4324132245663,61710900.0
2025-01-11,236.280029296875,239.58206138453855,232.4392881886217,239.4324132245663,61710900.0
2025-01-12,236.280029296875,239.58206138453855,232.4392881886217,239.4324132245663,61710900.0
2025-01-13,233.83592224121094,234.10527676213235,229.16719172961072,232.96802072299363,49630700.0
2025-01-14,232.71861267089844,235.55177458449063,231.9105643637605,234.1850763475817,39435300.0
2025-01-15,237.2975616455078,238.38495013235746,233.86583756026477,234.07533889356793,39832000.0
2025-01-16,227.710693359375,237.4372302632713,227.4812511099753,236.77883010316478,71759100.0
2025-01-17,229.4265594482422,231.73099810398455,227.93016912923343,231.5614090278119,68488300.0
2025-01-18,229.4265594482422,231.73099810398455,227.93016912923343,231.5614090278119,68488300.0
2025-01-19,229.4265594482422,231.73099810398455,227.93016912923343,231.5614090278119,68488300.0
2025-01-20,229.4265594482422,231.73099810398455,227.93016912923343,231.5614090278119,68488300.0
2025-01-21,222.10421752929688,223.87993275191027,218.85206818023312,223.46094530610958,98070400.0
2025-01-22,223.29135131835938,223.58064673096774,219.26106511921876,219.26106511921876,64126500.0
2025-01-23,223.1217803955078,226.4836658384098,221.76505253825962,224.19918327232872,60234800.0
2025-01-24,222.24388122558594,225.08702882156655,220.877182986192,224.23906824814947,54697900.0
2025-01-25,222.24388122558594,225.08702882156655,220.877182986192,224.23906824814947,54697900.0
2025-01-26,222.24388122558594,225.08702882156655,220.877182986192,224.23906824814947,54697900.0
2025-01-27,229.3068389892578,231.59132137138346,223.44098442848647,223.48089669223063,94863400.0
2025-01-28,237.68663024902344,239.61199368769647,230.25456145518996,230.2944737209622,75707600.0
2025-01-29,238.78399658203125,239.2827933650634,233.4468649147594,233.55660081590926,45486100.0
2025-01-30,237.0182342529297,240.21053038482776,236.63915907674937,238.09563705158317,55658300.0
2025-01-31,235.4320831298828,246.59515764263173,232.87824601959832,246.59515764263173,101075100.0
2025-02-01,235.4320831298828,246.59515764263173,232.87824601959832,246.59515764263173,101075100.0
2025-02-02,235.4320831298828,246.59515764263173,232.87824601959832,246.59515764263173,101075100.0
2025-02-03,227.4613037109375,231.27211844312274,225.15686500690927,229.43654993330725,73063300.0
2025-02-04,232.23977661132812,232.5689843025687,226.10456727432145,226.70312948058964,45067300.0
2025-02-05,231.9105682373047,232.11008389811693,227.72067847197073,227.98004730881974,39620300.0
2025-02-06,232.6587677001953,233.23737378273856,229.875473186273,230.7334042435517,29925300.0
2025-02-07,227.08221435546875,233.43688010961284,226.71309440770742,232.04025529180169,39707200.0
2025-02-08,227.08221435546875,233.43688010961284,226.71309440770742,232.04025529180169,39707200.0
2025-02-09,227.08221435546875,233.43688010961284,226.71309440770742,232.04025529180169,39707200.0
2025-02-10,227.3518524169922,230.2880044885276,226.90244480659103,229.26935130196645,33115600.0
2025-02-11,232.3153533935547,234.92193591818142,227.83124330015124,227.90114370319637,53718400.0
2025-02-12,236.55978393554688,236.64967765066982,230.377888084301,230.89721134547665,45243300.0
2025-02-13,241.21368408203125,242.02262084431055,235.2614980047627,236.5997394445533,53614100.0
2025-02-14,244.2796630859375,245.22841586050225,240.67439035154717,240.93404435379279,40896200.0
2025-02-15,244.2796630859375,245.22841586050225,240.67439035154717,240.93404435379279,40896200.0
2025-02-16,244.2796630859375,245.22841586050225,240.67439035154717,240.93404435379279,40896200.0
2025-02-17,244.2796630859375,245.22841586050225,240.67439035154717,240.93404435379279,40896200.0
2025-02-18,244.14984130859375,244.85890295305822,241.52328070167576,243.83025306858283,48822500.0
2025-02-19,244.54930114746094,245.68780753699892,242.84154918255663,244.33958470767533,32204200.0
2025-02-20,245.508056640625,246.4568094488268,243.9700649298591,244.61922281669615,32316900.0
2025-02-21,245.22842407226562,248.36431123309396,244.89885442060717,245.6278941258364,53197400.0
2025-02-22,245.22842407226562,248.36431123309396,244.89885442060717,245.6278941258364,53197400.0
2025-02-23,245.22842407226562,248.36431123309396,244.89885442060717,245.6278941258364,53197400.0
2025-02-24,246.77639770507812,248.53408727873096,244.09989957647335,244.609226181644,51326400.0
2025-02-25,246.71646118164062,249.67259136851834,244.58926106556868,247.67521063757022,48013300.0
2025-02-26,240.0452117919922,244.65915630674968,238.8168269352331,244.01001367840516,44433600.0
2025-02-27,236.98922729492188,242.14247324939222,236.74953612071198,239.09646458024955,41153600.0
2025-02-28,241.5232696533203,241.77294223985544,229.89851463379637,236.63967447024518,56833400.0
2025-03-01,241.5232696533203,241.77294223985544,229.89851463379637,236.63967447024518,56833400.0
2025-03-02,241.5232696533203,241.77294223985544,229.89851463379637,236.63967447024518,56833400.0
2025-03-03,237.71826171875,243.71040379171194,235.80077808405883,241.47333193183624,47184000.0
2025-03-04,235.6210174560547,239.75561031847352,234.3726544629493,237.39870037793833,53798100.0
2025-03-05,235.4312744140625,236.2402111793479,228.92979032203158,235.11168617953675,47227600.0
2025-03-06,235.0218048095703,237.54849020730907,232.8546485518437,234.13297099659667,45170400.0
2025-03-07,238.7569122314453,241.05388787370777,234.45254396930395,234.80209169163373,46273600.0
2025-03-08,238.7569122314453,241.05388787370777,234.45254396930395,234.80209169163373,46273600.0
2025-03-09,238.7569122314453,241.05388787370777,234.45254396930395,234.80209169163373,46273600.0
2025-03-10,227.1820831298828,235.85072354308846,223.92635798057333,235.23152514577004,72071200.0
2025-03-11,220.55078125,225.54423318142804,217.16522145004404,223.51689291637274,76137400.0
2025-03-12,216.69583129882812,221.4595886104368,214.6285501658544,219.85169651198805,62547500.0
2025-03-13,209.4053955078125,216.55602242060417,208.14705109128238,215.6671885752157,61368300.0
2025-03-14,213.21041870117188,213.66980775083542,209.30553558500114,210.97334672214788,60107600.0
2025-03-15,213.21041870117188,213.66980775083542,209.30553558500114,210.97334672214788,60107600.0
2025-03-16,213.21041870117188,213.66980775083542,209.30553558500114,210.97334672214788,60107600.0
2025-03-17,213.71974182128906,214.93814530685134,209.69502079955336,213.0306430192638,48073400.0
2025-03-18,212.4114532470703,214.8682229774316,211.21302787332291,213.87952928252258,42432400.0
2025-03-19,214.95811462402344,218.47349365471302,213.470060528986,213.93944620866878,54385400.0
2025-03-20,213.81961059570312,217.20517028159983,211.94206785632258,213.70975404736055,48862900.0
2025-03-21,217.98414611816406,218.5533916912833,211.0032951126973,211.2829271905112,94127800.0
2025-03-22,217.98414611816406,218.5533916912833,211.0032951126973,211.2829271905112,94127800.0
2025-03-23,217.98414611816406,218.5533916912833,211.0032951126973,211.2829271905112,94127800.0
2025-03-24,220.44091796875,221.1899357355996,218.29373979930335,220.71056863168138,44299500.0
2025-03-25,223.45697021484375,223.80651793975238,219.79177838679217,220.48087718007702,34493600.0
2025-03-26,221.2398681640625,224.7253029108424,220.18125884970436,223.21727075576553,34466100.0
2025-03-27,223.5568389892578,224.69534536875565,220.271139232742,221.1000540446544,37094800.0
2025-03-28,217.6146240234375,223.51688772665744,217.39491092445158,221.3796909591809,39818600.0
2025-03-29,217.6146240234375,223.51688772665744,217.39491092445158,221.3796909591809,39818600.0
2025-03-30,217.6146240234375,223.51688772665744,217.39491092445158,221.3796909591809,39818600.0
2025-03-31,221.83909606933594,225.32451569687797,215.9468137615173,216.72579102857173,65299300.0
2025-04-01,222.897705078125,223.3870536043053,218.61331487709137,219.5221267668628,36412700.0
2025-04-02,223.59678649902344,224.89508702876748,220.73055001137135,221.03016017035932,35905900.0
2025-04-03,202.9239044189453,207.2182761783418,200.9864426085102,205.27081771109022,103419000.0
2025-04-04,188.13330078125,199.61824028069563,187.09465424061224,193.6360793511012,125910900.0
2025-04-05,188.13330078125,199.61824028069563,187.09465424061224,193.6360793511012,125910900.0
2025-04-06,188.13330078125,199.61824028069563,187.09465424061224,193.6360793511012,125910900.0
2025-04-07,181.2223663330078,193.89573468350994,174.39131242893686,176.967935484531,160466300.0
2025-04-08,172.19419860839844,190.09072892121037,168.9884109270566,186.4554964395268,120859500.0
2025-04-09,198.58958435058594,200.3472738997123,171.6648855169899,171.72480450043201,184395900.0
2025-04-10,190.17062377929688,194.52491452460524,182.76034285398336,188.82240088513313,121880000.0
2025-04-11,197.89048767089844,199.27866665425725,185.81632494094944,185.856281088865,87435900.0
2025-04-12,197.89048767089844,199.27866665425725,185.81632494094944,185.856281088865,87435900.0
2025-04-13,197.89048767089844,199.27866665425725,185.81632494094944,185.856281088865,87435900.0
2025-04-14,202.25477600097656,212.6611277249045,200.8965565016436,211.1630921847052,101352900.0
2025-04-15,201.87527465820312,203.24347561495443,199.53834280484799,201.59564256833872,51343900.0
2025-04-16,194.0155792236328,200.4371508814261,192.11805840887246,198.10021911176236,59732400.0
2025-04-17,196.72203063964844,198.56961397436802,194.16538565496842,196.94174374665747,51334300.0
2025-04-18,196.72203063964844,198.56961397436802,194.16538565496842,196.94174374665747,51334300.0
2025-04-19,196.72203063964844,198.56961397436802,194.16538565496842,196.94174374665747,51334300.0
2025-04-20,196.72203063964844,198.56961397436802,194.16538565496842,196.94174374665747,51334300.0
2025-04-21,192.9070281982422,193.54618940120912,189.56140949031536,193.01688474432112,46742500.0
2025-04-22,199.47842407226562,201.32599215129426,195.71335703344474,195.8631544964882,52976400.0
2025-04-23,204.33206176757812,207.7276030292648,202.5344160012944,205.7302222309065,52929200.0
2025-04-24,208.09710693359375,208.5565112075726,202.67422555441442,204.62166872266098,47311000.0
2025-04-25,209.00592041015625,209.47530610539675,205.92995222724628,206.0997277622984,38222300.0
2025-04-26,209.00592041015625,209.47530610539675,205.92995222724628,206.0997277622984,38222300.0
2025-04-27,209.00592041015625,209.47530610539675,205.92995222724628,206.0997277622984,38222300.0
2025-04-28,209.8647918701172,211.2230113707532,207.1883090170199,209.72497582911666,38743100.0
2025-04-29,210.9333953857422,211.96204522644123,208.09710321217068,208.41669143858087,36827600.0
2025-04-30,212.22171020507812,213.30029766677714,206.399343338795,209.02590396975114,52286500.0
2025-05-01,213.04063415527344,214.2790004444518,208.62640936955898,208.80618155790114,57365700.0
2025-05-02,205.08106994628906,206.71892151455646,201.89524528415058,205.82009105417706,101010600.0
2025-05-03,205.08106994628906,206.71892151455646,201.89524528415058,205.82009105417706,101010600.0
2025-05-04,205.08106994628906,206.71892151455646,201.89524528415058,205.82009105417706,101010600.0
2025-05-05,198.62953186035156,203.83271551835597,197.9504297070337,202.83402512431957,69018500.0
2025-05-06,198.25001525878906,200.38721199140494,196.7619763948813,197.9504203457911,51216500.0
2025-05-07,195.99298095703125,199.1788056079939,192.99690991055434,198.90915494694545,68536700.0
2025-05-08,197.2313690185547,199.78801395815432,194.42503624466005,197.46106353953903,50478900.0
2025-05-09,198.27000427246094,200.2773664943336,197.28129528859796,198.739389980464,36453900.0
2025-05-10,198.27000427246094,200.2773664943336,197.28129528859796,198.739389980464,36453900.0
2025-05-11,198.27000427246094,200.2773664943336,197.28129528859796,198.739389980464,36453900.0
2025-05-12,210.7899932861328,211.27000427246094,206.75,210.97000122070312,63775800.0
2025-05-13,212.92999267578125,213.39999389648438,209.0,210.42999267578125,51909300.0
2025-05-14,212.3300018310547,213.94000244140625,210.5800018310547,212.42999267578125,49325800.0
2025-05-15,211.4499969482422,212.9600067138672,209.5399932861328,210.9499969482422,45029500.0
2025-05-16,211.25999450683594,212.57000732421875,209.77000427246094,212.36000061035156,54737900.0
2025-05-17,211.25999450683594,212.57000732421875,209.77000427246094,212.36000061035156,54737900.0
2025-05-18,211.25999450683594,212.57000732421875,209.77000427246094,212.36000061035156,54737900.0
2025-05-19,208.77999877929688,209.47999572753906,204.25999450683594,207.91000366210938,46140500.0
2025-05-20,206.86000061035156,208.47000122070312,205.02999877929688,207.6699981689453,42496600.0
2025-05-21,202.08999633789062,207.0399932861328,200.7100067138672,205.1699981689453,59211800.0
2025-05-22,201.36000061035156,202.75,199.6999969482422,200.7100067138672,46742400.0
2025-05-23,195.27000427246094,197.6999969482422,193.4600067138672,193.6699981689453,78432900.0
2025-05-24,195.27000427246094,197.6999969482422,193.4600067138672,193.6699981689453,78432900.0
2025-05-25,195.27000427246094,197.6999969482422,193.4600067138672,193.6699981689453,78432900.0
2025-05-26,195.27000427246094,197.6999969482422,193.4600067138672,193.6699981689453,78432900.0
2025-05-27,200.2100067138672,200.74000549316406,197.42999267578125,198.3000030517578,56288500.0
2025-05-28,200.4199981689453,202.72999572753906,199.89999389648438,200.58999633789062,45339700.0
2025-05-29,199.9499969482422,203.80999755859375,198.50999450683594,203.5800018310547,51396800.0
2025-05-30,200.85000610351562,201.9600067138672,196.77999877929688,199.3699951171875,70819900.0
2025-05-31,200.85000610351562,201.9600067138672,196.77999877929688,199.3699951171875,70819900.0
2025-06-01,200.85000610351562,201.9600067138672,196.77999877929688,199.3699951171875,70819900.0
2025-06-02,201.6999969482422,202.1300048828125,200.1199951171875,200.27999877929688,35423300.0
2025-06-03,203.27000427246094,203.77000427246094,200.9600067138672,201.35000610351562,46381600.0
2025-06-04,202.82000732421875,206.24000549316406,202.10000610351562,202.91000366210938,43604000.0
2025-06-05,200.6300048828125,204.75,200.14999389648438,203.5,55126100.0
2025-06-06,203.9199981689453,205.6999969482422,202.0500030517578,203.0,46607700.0
2025-06-07,203.9199981689453,205.6999969482422,202.0500030517578,203.0,46607700.0
2025-06-08,203.9199981689453,205.6999969482422,202.0500030517578,203.0,46607700.0
2025-06-09,201.4499969482422,206.0,200.02000427246094,204.38999938964844,72862600.0
2025-06-10,202.6699981689453,204.35000610351562,200.57000732421875,200.60000610351562,54672600.0
2025-06-11,198.77999877929688,204.5,198.41000366210938,203.5,60989900.0
2025-06-12,199.1999969482422,199.67999267578125,197.36000061035156,199.0800018310547,43904600.0
2025-06-13,196.4499969482422,200.3699951171875,195.6999969482422,199.72999572753906,51362400.0
2025-06-14,196.4499969482422,200.3699951171875,195.6999969482422,199.72999572753906,51362400.0
2025-06-15,196.4499969482422,200.3699951171875,195.6999969482422,199.72999572753906,51362400.0
